Customer_ID,Country,Total_Orders,Total_Items_Bought,Total_Spent,Avg_Order_Value,First_Purchase,Last_Purchase
12346,"United Kingdom",1,74215,77183.60,77183.60,"2011-01-18 10:01:00","2011-01-18 10:01:00"
12347,Iceland,7,2458,4310.00,615.71,"2010-12-07 14:57:00","2011-12-07 15:52:00"
12348,Finland,4,2341,1797.24,449.31,"2010-12-16 19:09:00","2011-09-25 13:13:00"
12349,Italy,1,631,1757.55,1757.55,"2011-11-21 09:51:00","2011-11-21 09:51:00"
12350,Norway,1,197,334.40,334.40,"2011-02-02 16:01:00","2011-02-02 16:01:00"
12352,Norway,8,536,2506.04,313.26,"2011-02-16 12:33:00","2011-11-03 14:37:00"
12353,Bahrain,1,20,89.00,89.00,"2011-05-19 17:47:00","2011-05-19 17:47:00"
12354,Spain,1,530,1079.40,1079.40,"2011-04-21 13:11:00","2011-04-21 13:11:00"
12355,Bahrain,1,240,459.40,459.40,"2011-05-09 13:49:00","2011-05-09 13:49:00"
12356,Portugal,3,1591,2811.43,937.14,"2011-01-18 09:50:00","2011-11-17 08:40:00"
