Customer_ID,Recency,Frequency,Monetary
12346,326,1,77183.60
12347,3,7,4310.00
12348,76,4,1797.24
12349,19,1,1757.55
12350,311,1,334.40
12352,37,8,2506.04
12353,205,1,89.00
12354,233,1,1079.40
12355,215,1,459.40
12356,23,3,2811.43
12357,34,1,6207.67
12358,2,2,1168.06
12359,58,4,6310.03
12360,53,3,2662.06
12361,288,1,189.90
12362,4,10,5226.23
12363,110,2,552.00
12364,8,4,1313.10
12365,292,2,641.38
12367,5,1,168.90
12370,52,4,3541.94
12371,45,2,1887.96
12372,72,3,1298.04
12373,312,1,364.60
12374,26,1,742.93
12375,11,2,457.50
12377,316,2,1628.12
12378,130,1,4008.62
12379,82,2,852.24
12380,22,4,2724.81
12381,5,5,1845.31
12383,185,5,1850.56
12384,29,2,585.27
12386,338,2,401.90
12388,16,6,2780.66
12390,80,1,549.84
12391,22,1,439.66
12393,73,4,1582.60
12394,64,2,1272.48
12395,20,12,3018.63
12397,36,2,2409.90
12398,46,1,1635.66
12399,120,4,1108.65
12401,304,1,84.30
12402,324,1,225.60
12403,50,1,427.70
12405,149,1,1710.39
12406,23,2,3415.30
12407,50,5,1708.12
12408,33,5,2888.55
12409,79,3,11072.67
12410,309,2,693.33
12412,75,3,1226.88
12413,67,3,758.10
12414,218,3,562.41
12415,25,21,124914.53
12417,4,9,3649.10
12418,113,1,668.58
12420,64,1,600.39
12421,16,4,807.04
12422,96,3,803.56
12423,1,8,1859.31
12424,163,2,1760.96
12425,79,1,777.20
12426,195,1,582.73
12427,22,3,825.80
12428,26,9,7956.46
12429,10,4,3750.40
12430,44,1,256.40
12431,36,15,6419.95
12432,43,5,5059.32
12433,1,7,13375.87
12434,85,2,806.14
12435,80,2,7829.89
12436,100,1,509.01
12437,2,18,4951.41
12438,15,2,2906.85
12441,367,1,173.55
12442,4,1,172.06
12444,22,5,5005.46
12445,23,1,133.40
12446,58,1,1002.31
12447,244,1,476.49
12448,45,1,449.45
12449,23,4,4067.29
12450,157,2,197.88
12451,11,5,9035.52
12452,17,2,430.57
12453,135,1,707.09
12454,57,1,3528.34
12455,74,6,2466.86
12456,45,3,3181.04
12457,67,7,2363.23
12458,72,2,947.40
12461,95,2,826.88
12462,19,2,1189.59
12463,54,4,1344.78
12464,11,8,1212.05
12465,18,2,742.19
12468,188,2,729.54
12471,3,30,19788.65
12472,33,7,6572.11
12473,30,5,3928.05
12474,18,18,7324.09
12475,54,1,723.38
12476,16,11,6816.42
12477,23,6,13219.74
12478,4,1,680.99
12479,12,1,527.20
12480,29,4,3281.63
12481,23,10,5579.82
12483,18,8,2484.98
12484,33,6,4527.32
12488,10,3,1298.66
12489,337,1,334.93
12490,6,10,5417.93
12491,39,1,460.40
12492,64,2,263.21
12493,166,2,433.74
12494,16,7,1246.10
12497,82,1,1043.10
12498,22,3,403.70
12500,24,11,4257.82
12501,337,1,2169.39
12502,96,5,3723.87
12504,19,2,482.05
12506,233,1,73.50
12507,135,3,1304.81
12508,27,2,397.88
12509,285,1,176.50
12510,143,2,982.57
12512,67,2,132.18
12513,113,1,612.29
12514,268,1,1017.68
12515,354,1,383.70
12516,78,2,1312.06
12517,29,5,2481.60
12518,1,5,2056.89
12519,64,1,330.84
12520,80,5,2634.26
12521,143,1,599.68
12522,40,2,192.72
12523,20,11,1789.77
12524,10,8,4485.72
12526,1,3,1316.66
12527,82,3,348.71
12528,10,6,1933.48
12530,60,4,1662.28
12531,15,1,125.22
12532,31,1,349.83
12534,131,1,1089.18
12535,92,2,716.35
12536,44,3,12601.83
12538,30,1,363.95
12539,23,4,5568.35
12540,20,17,13400.24
12541,30,3,981.18
12544,37,1,372.70
12545,76,2,1000.39
12546,47,2,1161.50
12547,198,2,207.80
12548,167,1,95.20
12550,80,1,964.83
12551,358,1,168.00
12552,39,2,437.82
12553,9,10,3692.28
12556,51,2,599.56
12557,17,5,11990.96
12558,8,1,269.96
12559,311,2,561.71
12560,6,3,2134.01
12561,303,1,238.85
12562,9,7,3781.74
12564,262,1,456.90
12565,289,1,145.92
12566,87,1,351.65
12567,23,10,9401.28
12569,3,32,4124.69
12571,40,2,519.61
12572,9,2,1020.42
12573,228,1,160.54
12574,316,1,218.45
12576,36,5,1315.83
12577,36,3,626.60
12578,22,2,2794.51
12579,79,1,440.42
12580,247,1,415.70
12581,40,1,197.71
12582,239,2,511.36
12583,3,15,7281.38
12584,4,9,2338.15
12585,235,2,2040.10
12586,18,1,196.94
12587,8,1,144.00
12588,40,1,214.90
12589,29,2,646.68
12590,212,2,9864.26
12591,318,1,452.85
12592,93,2,437.60
12593,109,3,418.10
